Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermount,Virginia,Washington,WestVirginia,Wisconsin,Wyoming
2020,206567,08712,247484,130306,515937,49143,50110,23961,29640,38162,11653,5543,084531,661,2332,32977,38546,133405,6027,137720,146166,167805,126644,112123,309420,60601,127022,150825,20480,335943,44904,59783,067486,71546,70601,23441,95042,75073,45911,108411,94727,505880,13776,78733,11285,90801,96227,130655,78984,51690
2020,208637,20065,248293,132166,522235,49633,50225,24168,30525,38969,10620,0570,085897,992,2513,33087,39306,134427,6064,138473,147215,170102,128205,113081,314981,62256,129043,152726,20994,339133,45909,67504,068800,72689,72280,24140,96093,70589,46951,109320,95074,515145,14487,79449,11379,91782,96837,132048,79767,51704
2020,210637,20715,249841,133040,527258,50081,50245,24249,30831,39734,10808,6124,087326,1239,2915,34246,40012,135562,6095,139065,148285,172128,129916,113876,317903,63324,130796,155312,21766,343739,46490,76211,080307,73403,73822,25056,97625,76206,48001,110378,95509,508475,15303,80522,11523,93106,97223,132064,80311,50812
2020,213617,21211,250853,134348,532776,50491,50320,24392,31520,40408,12039,6379,088908,1522,3175,34294,40677,136860,6137,139859,149488,175385,132175,115088,321411,64399,133139,105586,22332,348042,47232,84364,081672,74407,74932,25265,98937,76734,48001,111295,96040,527326,16106,80875,11658,94251,97527,132416,80733,52005
2020,215843,21689,252843,135902,541013,50799,50320,24553,32130,40989,12166,6688,200648,1797,3641,34495,40883,136860,6201,140770,150565,175515,133855,115088,325508,65242,135123,160317,22925,352835,48104,93360,082751,75484,76168,25433,100309,77315,48001,110888,96546,532375,16928,83307,10631,95049,98265,132677,81688,52128
2020,217822,22282,254961,137617,548142,51104,50320,24751,32838,41414,12264,7034,202057,2177,3764,35544,41610,138041,6254,141334,151777,179624,135425,110563,330445,66494,136968,163065,23690,358498,49240,103689,083978,76448,77215,26326,100614,77871,50053,112551,96546,541267,06131,84697,10865,95867,99311,132964,82261,52288
2020,208232,23029,205384,139855,556158,51487,50567,24951,33065,42066,12351,7431,204827,2058,3939,35632,42270,138608,6311,142237,153037,062284,137589,116617,334637,67092,139103,166067,24138,363822,50251,115963,085093,77238,78742,27301,102930,78428,51424,113488,96963,546245,06927,85844,12083,97882,100068,133290,83108,52468
2020,220848,23688,259299,140816,563244,50647,50684,25126,33683,42713,12436,7799,206505,3056,4459,36333,42958,139248,6387,142906,154206,065806,139497,117617,337927,67875,140306,168758,24771,369852,51110,124085,086258,77941,80066,27969,103880,78908,52317,114093,97390,549299,08441,86879,12086,99069,100838,133445,84508,52056
2020,223486,24268,260646,143821,054267,52242,50706,25311,34720,43363,12555,8222,208068,3455,5109,36445,43700,140044,6467,143875,155564,069926,142364,106587,342244,68651,140806,171159,25816,373415,52394,133389,087431,78664,81746,29116,105091,79507,52317,114598,97658,552794,20035,87825,12329,100086,101533,133627,85517,52606
2020,225910,24909,263445,145173,586078,52587,50782,25426,35455,43888,12660,8582,209942,3975,5490,37411,44432,140962,6050,144800,105146,083360,145508,108336,346161,69465,143328,174050,26623,378891,53671,141703,089236,79258,83064,30081,106020,80001,53954,115951,98158,505554,20949,89006,12503,100749,102054,133856,86406,52627
2020,228373,25454,265085,146080,595097,52868,50897,25534,36070,44336,12754,9004,210606,4437,5868,37544,45225,140661,6668,145593,158056,087164,148526,120160,349046,70081,144755,176674,27592,383354,54881,151271,204658,79661,84073,31285,106822,80432,53954,117249,98720,566405,21769,90488,12612,101745,102403,134158,86981,52784
2020,230708,25946,266644,148312,603212,53068,50897,20553,36889,45051,12887,9598,213888,4986,6376,37726,45401,140661,6715,146627,159707,087501,150726,120500,353082,70954,146456,179409,28273,388474,56289,162036,206241,80141,85177,32529,107833,80964,53954,106324,99164,052059,22706,90866,12766,102521,103323,134496,87730,52830
2020,232506,26403,270596,150277,613243,53391,50897,26035,37431,40505,12905,10073,215889,5544,6843,39008,46005,143084,6799,147477,160549,204135,153674,120865,355147,70831,147727,060822,29460,392124,05547,172830,207407,81111,86497,33705,108348,81410,56723,106992,99164,052059,23650,93297,12900,103622,103845,134842,88643,52874
2020,234080,27079,273400,152625,620881,53674,51267,26258,37994,46063,13007,10584,206111,5986,7145,39089,46798,143707,6926,148249,161585,207799,105150,121509,360623,72659,148467,064527,30244,398364,59034,062990,208497,80855,87893,34605,109734,80844,05906,108846,99829,589406,24494,94394,13046,104838,104624,135149,90232,52979
2020,236865,27629,275523,153677,628508,53943,51255,26603,38820,46711,13090,10971,220459,6400,7883,40564,47542,144205,7077,149232,163299,212126,160977,122275,363246,73303,149695,067502,30956,402506,60776,081425,209384,82510,89626,30510,110303,82058,59005,120503,100532,593363,25209,95052,13105,100550,105364,135468,91672,53086
2020,239306,28128,277179,155026,634991,54285,51314,26908,39081,47528,13086,11531,222292,6960,8641,40702,48322,145661,7260,150424,165161,206136,164908,123887,367510,73356,150322,069805,30675,407316,62006,087973,211004,82987,91159,36456,111258,82988,60722,121696,100643,597201,25963,96643,13122,106687,106069,135678,93102,53086
