Year,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Argentina,Armenia,Aruba,Australia,Austria,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,Bhutan,Cambodia,Cameroon,China,Colombia,Comoros,Croatia,Cuba,Denmark,Dominica,Ecuador,Egypt,Europe,Finland,France,Gabon,Georgia,Germany,Greece,Greenland,Guatemala,Guyana,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordon,Kazakhstan,Kenya,Kuwait,Liberia,Libya,Luxembourg,Macao,Madagascar,Malaysia,Maldives,Mauritius,Mexico,Moldova,Mongolia,Morocco,Myanmar,Namibia,Nepal,Netherlands,NewZealand,Nicaragua,Nigeria,Norway,Oceania,Oman,Pakistan,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Samoa,SanMarino,SaudiArabia,Singapore,Slovakia,Slovenia,SouthAfrica,Spain,SriLanka,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Turkey,Uganda,Ukraine,UnitedArabEmirates,UnitedKingdom,UnitedStates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Zambia,Zimbabwe
2020,0,0,0,0,0.73,0,0,0.05,0.02,14.64,0,0.36,0,2.66,0,0,0,0,0.02,0,0,0,43.62,1.45,1.64,0.19,0.62,0,0,0,0,0,0,0,0,0,0.03,0,4.59,0,0,1.34,0,0,0,0,0,0,0.01,0,0,0,0,0,2.344,0.7,0.01,0.09,0.07,5.99,0,0,0.17,0,0,0.13,0.09,6.36,0,0,0.38,0.2,0,0,0,0,0.04,0,0,0.01,0.05,0,0.02,0,3.39,0.1,44.21,0,0.55,0.29,0,0.17,0,0,0.02,0,0,0,0.71,0.17,0,3.62,0,0,8.93,3.4,0.01,0.01,0,0,0,0,0,0
2020,0,0,0,0,,,,0.09,0.03,14.64,0.01,0.36,0.02,3.42,0,0,0,0,0.07,11.05,0,0,,1.56,1.64,0.19,0.62,0,0,0.02,0,0,0,0,0,0,0.05,0.01,4.59,0,0,1.34,0.01,0,0,0,0.01,0.08,0.01,0,0,0,0,0,2.344,0.7,0.01,0.19,0.13,6.1,0,0,0.3,0,0,0.13,0.15,6.6,0.01,0,0.38,0.2,0,0,0,0,0.07,0,0,0.02,0.05,0.01,0.02,0,3.39,0.1,44.44,0,0.55,0.37,0,0.29,0.02,0,0.02,0,0,0.01,0.71,0.17,0,3.84,0,0,8.93,3.61,0.01,0.01,0,0,0,0,0,0
2020,0,0,0,,,,,0.1,0.04,14.64,0.03,0.36,0.02,3.45,0,0,0.01,0.01,0.07,23.57,0,0,,1.69,1.64,0.19,0.62,0,0,0.02,0,0,0,0,0,0,0.11,0.02,4.59,0.01,0,1.39,0.02,0,0,0,0.03,0.35,0.02,0,0,0,0,0,2.344,0.7,0.01,0.29,0.2,6.23,0,0.02,0.61,0,0,0.13,0.2,6.6,0.01,0,0.38,0.2,0,0,0,0,0.11,0,0,0.09,0.05,0.01,0.02,0,3.39,0.81,44.81,0,0.55,0.43,0,0.29,0.17,0,0.02,0,0,0.01,0.72,0.17,0,3.94,0,0.01,8.93,3.92,0.02,0.54,0,0.08,0,0,0,0
2020,0,0,0,,,,,0.1,0.05,14.64,0.06,0.36,0.02,3.52,0,0,0.01,0.05,0.07,35.33,0.01,0,,1.8,1.64,0.19,0.62,0,0,0.02,0,0,0,0,0,0,0.19,0.02,4.59,0.01,0,1.43,0.03,0,0,0,0.05,0.83,0.03,0,0,0,0,0,2.344,0.7,0.01,0.35,0.2,6.4,0,0.04,0.82,0,0.01,0.13,0.2,6.88,0.01,0,0.53,0.2,0,0,0,0,0.14,0,0,0.12,0.05,0.03,0.02,0,3.39,1.72,45.32,0,0.55,0.45,0.01,0.44,0.27,0,0.02,0.01,0,0.02,0.72,0.17,0.01,4.26,0,0.01,8.93,4.34,0.07,0.97,0,0.08,0,0,0,0.01
2020,0,0,0,,,,,0.1,0.06,14.64,0.09,0.36,0.02,3.66,0,0,0.01,0.09,0.07,43.85,0.01,0,,1.89,1.64,0.3,4.05,0,0,0.02,0,0,0,0,0,0,0.25,0.02,4.59,0.01,0.08,1.47,0.05,0,0,0,0.06,1.51,0.07,0,0,0,0,0,2.344,0.7,0.01,0.35,0.2,6.53,0,0.06,1.31,0,0.01,0.13,0.2,7.11,0.01,0,0.53,0.2,0,0,0,0,0.14,0,0.01,0.12,0.05,0.05,0.02,0,3.39,2.62,45.67,0,0.55,0.54,0.02,0.59,0.44,0,0.02,0.01,0,0.03,0.72,0.17,0.01,4.7,0,0.01,8.93,4.81,0.15,1.59,0,0.08,0,0,0.01,0.01
2020,0,0,0,,,,,0.1,0.07,14.64,0.12,0.36,0.02,3.76,0,0,0.01,0.22,0.07,50.77,0.01,0,,1.99,1.64,0.3,4.8,0,0,0.03,0,0,0,0.01,0,0,0.28,0.03,4.59,0.01,0.08,1.5,0.06,0,0,0,0.08,2.3,0.09,0.43,0.01,0,0,0,2.344,0.7,0.01,0.35,0.2,6.65,0,0.1,1.87,0,0.01,0.21,0.28,7.85,0.01,0,0.53,0.2,0,0,0,0,0.16,0,0.01,0.13,0.05,0.06,0.02,0,3.39,4.1,45.94,0,0.55,0.55,0.03,0.59,0.55,0,0.02,0.01,0,0.04,0.72,0.17,0.01,5.28,0,0.01,8.93,5.32,0.27,1.85,0,0.08,0,0.01,0.01,0.03
2020,0.02,0,0,,,,,0.13,0.08,14.64,0.12,0.36,0.02,3.83,0,0,0.01,0.27,0.07,55.93,0.04,0,,2.09,1.64,0.34,5.44,0,0,0.03,0,0,0,0.01,0,0,0.34,0.04,4.59,0.01,0.08,1.51,0.07,0,0,0,0.09,2.71,0.15,0.43,0.01,0,0,0.01,2.344,0.7,0.01,0.35,0.2,6.81,0.01,0.17,2.48,0,0.02,0.27,0.28,8.52,0.01,0,0.53,0.2,0,0,0,0,0.2,0,0.02,0.13,0.05,0.07,0.02,0,3.39,5.57,46.19,0,0.55,0.57,0.04,0.59,0.64,0,0.02,0.01,0,0.04,0.72,0.17,0.01,5.93,0.01,0.02,8.93,5.76,0.33,2.12,0.1,0.08,0,0.01,0.02,0.04
2020,0.02,0,0,,1.31,0.02,,0.15,0.09,14.64,0.13,1.31,0.02,3.92,0,0,0.01,0.29,0.08,58.34,0.07,0,,2.19,1.64,0.34,5.44,0,0,0.04,0,0,0,0.01,0,0,0.36,0.1,4.59,0.01,0.08,1.54,0.1,0,0,0,0.11,3.06,0.21,0.57,0.01,0,0,0.01,2.344,0.7,0.01,0.35,0.2,6.96,0.01,0.23,3.12,0.02,0.02,0.31,0.39,8.98,0.01,0.01,0.53,0.44,0,0,0,0,0.24,0,0.03,0.24,0.83,0.07,0.04,0,5.46,6.93,46.47,0,1.17,0.59,0.05,0.86,0.67,0,0.02,0.03,0,0.04,0.72,0.17,0.01,6.35,0.01,0.02,8.93,6.04,0.36,2.12,0.1,0.27,0,0.01,0.05,0.07
2020,0.02,0,0,,,,,0.17,0.1,14.64,0.16,1.31,0.37,4.01,0,0,0.02,0.37,0.11,59.13,0.07,0,,2.25,1.64,0.51,6.38,0,0,0.04,0,0,0,0.01,0,0,0.42,0.16,4.59,0.01,0.08,1.57,0.11,0,0,0,0.18,4.19,0.33,0.57,0.02,0,0,0.01,2.344,0.7,0.01,0.35,0.2,7.13,0.01,0.29,3.87,0.02,0.02,0.37,0.39,9.27,0.01,0.01,0.53,0.44,0.01,0,0,0,0.28,0.01,0.04,0.37,0.83,0.13,0.04,0,5.46,6.93,46.93,0,1.17,0.65,0.07,1.03,0.72,0,0.02,0.05,0,0.05,0.72,0.34,0.01,6.49,0.02,0.03,8.93,6.34,0.47,2.12,0.1,0.27,0,0.02,0.06,0.08
2020,0.02,0,0,,,,8.51,0.21,0.11,14.64,0.2,1.31,0.37,4.06,0,0,0.06,0.49,0.16,60.04,0.1,0,,2.29,1.64,0.62,6.38,0,0,0.04,0,0,0,0.02,0.01,0,0.48,0.2,4.59,0.01,0.08,1.66,0.11,0,0.01,0,0.32,5.64,0.47,0.57,0.02,0,0,0.01,2.344,1.01,0.01,0.37,0.21,7.31,0.05,0.33,4.86,0.02,0.02,0.37,0.39,9.27,0.01,0.01,0.53,0.44,0.02,0,0,0,0.31,0.01,0.08,0.42,0.83,0.22,0.04,0,5.46,8,47.25,0.02,1.17,0.77,0.09,1.22,0.74,0,0.02,0.07,0,0.05,0.74,0.34,0.01,6.51,0.03,0.04,8.93,6.85,0.61,2.95,0.1,0.27,0,0.02,0.06,0.1
